Time,Acc_1,Acc_2,Acc_3,Gyro_1,Gyro_2,Gyro_3,Acc_global_1,Acc_global_2,Acc_global_3,Pitch,Roll,Yaw,Movement,Swing,SwingFind,StrideLength,Label1,Label2
47.11,-2.356362,17.16162,-0.616068,39.1,-27.5,-41.2,-2.59936591733518,-0.758733270624182,17.1207711079819,96.365678864956,-0.0809156638612755,-12.190203941215,1,1,1,0.0657821199870071,0,0
47.115,-4.899114,15.69992,-2.215098,43.1,-29.6,-45.1,-4.65583753060153,1.4265679102919,15.8645373719812,96.5816708993835,0.166796176884021,-12.3118353148033,1,1,1,0.0668332898804736,0,0
47.12,-6.843456,13.21799,-3.959316,45.7,-31.5,-48,-6.07289047108787,3.75976271308548,13.6458242154657,96.8132532867927,0.43419962378391,-12.4402519653425,1,1,1,0.0679068255551961,0,0
47.125,-7.330032,10.2593,-4.722534,47.3,-35.7,-51,-6.27416054441517,4.9120510771268,10.8531837112825,97.054683896362,0.722290725753772,-12.5866039789898,1,1,1,0.0690098176252307,0,0
47.13,-6.882696,7.33788,-4.64994,46.9,-44.9,-53.2,-5.75934075463104,5.0799536410392,7.99136998288936,97.2949215093194,1.02999686431811,-12.7760132880367,1,1,1,0.0701458006292967,0,0
47.135,-5.909544,4.818672,-4.39488,45.8,-52.5,-51.5,-4.7965285518877,4.93111531018147,5.4895078098673,97.5306700355755,1.33688769587224,-13.0029093269837,1,1,1,0.0713148690761319,0,0
47.14,-4.750002,3.321666,-4.28697,44.2,-58.4,-45.4,-3.64354214233063,4.76206008180502,4.00268412828579,97.7596311180674,1.61851256779669,-13.2618223750189,1,1,1,0.0725153546358,0,0
47.145,-3.553182,2.994012,-3.922038,42.7,-64.6,-37.5,-2.52843745005831,4.17744126054648,3.62320035749577,97.9797724604733,1.86383226178456,-13.555769714437,1,1,1,0.0737447828763059,0,0
47.15,-1.98162,3.869064,-3.196098,42.4,-70.4,-34.7,-1.14390380868226,2.9733423231306,4.35456496013877,98.1927585375823,2.09357077936898,-13.8796370828774,1,1,1,0.074999600349856,0,0
47.155,-0.672966,5.732964,-2.650662,41.5,-74.3,-35.2,0.024857638520662,1.83553215870446,6.0807871441833,98.3938970292292,2.32292749441783,-14.2218563409972,1,1,1,0.0762751403632679,0,0
47.16,-0.7102441,7.849962,-2.723256,40.5,-72.1,-37.6,0.0488487931545713,1.55832710858077,8.19217332229895,98.5871837257058,2.56316824955986,-14.5507413928237,1,1,1,0.0775675074659432,0,0
47.165,-1.38321,9.529434,-3.341286,39.4,-66,-39.7,-0.391056035020808,2.01575765844959,9.98355501001891,98.7759416886828,2.81192559861527,-14.8470585587181,1,1,1,0.078875607954226,0,0
47.17,-1.944342,10.66151,-4.13982,37.4,-57.9,-43.4,-0.662816680739909,2.69493457091777,11.26429636647,98.9579418327251,3.07534023080811,-15.0995734619489,1,1,1,0.0802007313966638,0,0
47.175,-2.279844,11.35606,-4.795128,34.7,-48.5,-47.1,-0.746315021631991,3.24464094823021,12.0857916137025,99.1290213228202,3.35080971028855,-15.3018593509618,1,1,1,0.0815448010531134,0,0
47.18,-2.319084,11.79358,-5.085504,32.3,-42.4,-48.3,-0.63976703418426,3.40933629361907,12.5815799853769,99.2892459911905,3.62757168662484,-15.4722386750797,1,1,1,0.0829091740446892,0,0
47.185,-2.056176,11.72099,-4.830444,30.2,-37.5,-48,-0.401380739814498,3.06399919699921,12.4656912356558,99.4390934765161,3.89846053852601,-15.6179507401596,1,1,1,0.0842940355359825,0,0
47.19,-1.457766,11.13631,-4.540068,28,-34,-45.9,0.131124155123242,2.68910619942157,11.8112748624219,99.5782128629478,4.15477495047688,-15.7474438737684,1,1,1,0.0856983634159473,0,0
47.195,-0.7848001,10.33385,-3.959316,26.5,-32.3,-42.6,0.637407818243815,2.06426090260183,10.8817778146119,99.7088863666942,4.39164518014335,-15.8707729307507,1,1,1,0.0871203371410735,0,0
47.2,-0.55917,9.384247,-3.451158,24.7,-30,-38.7,0.718785836761644,1.66449582934485,9.84886059104491,99.831627026201,4.60671608578798,-15.9854659502416,1,1,1,0.0885580204104201,0,0
47.205,-0.822078,8.617105,-3.233376,24.2,-27.9,-36.4,0.411682125214441,1.64573557755861,9.08334208389412,99.9527925901322,4.81028481137171,-16.091253325549,1,1,1,0.0900103600083213,0,0
47.21,-1.234098,8.214894,-3.196098,24,-25.4,-34.1,0.0201817934945413,1.77460019269921,8.72197859328579,100.073944001559,5.00284932226118,-16.1862243768165,1,1,1,0.091477541907993,0,0
47.215,-1.606878,8.287488,-3.160782,23.8,-22.4,-32.6,-0.319194922468146,1.80577628056937,8.82566392599195,100.19454708153,5.18737327812156,-16.2673315626693,1,1,1,0.0929603216706537,0,0
47.22,-1.532322,8.689698,-2.941038,24,-20.4,-34.1,-0.271635316309298,1.47341961393354,9.17953242036509,100.315055655455,5.37681208731604,-16.337004580517,1,1,1,0.0944590290959181,0,0
47.225,-1.083024,9.237097,-2.68794,24,-17.7,-36.4,0.131410907922323,0.972970863155108,9.6310945529729,100.434708335247,5.57251130855551,-16.3910671730028,1,1,1,0.0959728860951868,0,0
47.23,-0.55917,9.711901,-2.252376,23,-14.1,-40.1,0.551928064090293,0.292217078903446,9.96578518526983,100.54867004657,5.78023045773816,-16.4238206716772,1,1,1,0.0975001051439999,0,0
47.235,-0.223668,10.04152,-2.142504,22.6,-11.2,-42.6,0.884951412506955,-0.00279145862659647,10.231780288879,100.661535851269,5.99478157044074,-16.4395940470373,1,1,1,0.0990386851149404,0,0
47.24,-0.18639,10.1867,-2.032632,22.1,-7.2,-45.6,0.927462581282579,-0.176974640392533,10.3461917683029,100.773591115638,6.21740174046897,-16.432439859718,1,1,1,0.100587255877226,0,0
47.245,-0.335502,10.2593,-2.032632,20.7,-1.9,-47.5,0.822945649692122,-0.180313073051299,10.4301312831031,100.881619509644,6.44385635584359,-16.3968711517499,1,1,1,0.102145282458447,0,0
47.25,-0.59841,10.22398,-2.032632,19.8,3,-49.7,0.606130894050793,-0.129078960451548,10.4228306317032,100.988219939025,6.67866315254862,-16.334541390753,1,1,1,0.103712839435363,0,0
47.255,-1.008468,10.00424,-1.924722,18.9,7.4,-51,0.207123635004941,-0.0978496392000077,10.2349355498628,101.09249498262,6.91949344362393,-16.248835226851,1,1,1,0.10529039049994,0,0
47.26,-1.420488,9.894366,-2.06991,17.8,11.2,-51.2,-0.11296506431586,0.146626922810793,10.2062006421563,101.195619049374,7.16150786475503,-16.143468652357,1,1,1,0.106878704391677,0,0
47.265,-1.757952,9.602029,-2.142504,16.8,14,-51,-0.396651584967114,0.342728207260623,9.98022466867645,101.297484414307,7.40384642230076,-16.0237703649855,1,1,1,0.108478769982803,0,0
47.27,-2.056176,9.419562,-2.179782,16.5,16.1,-49.9,-0.648628710788161,0.470494846684004,9.85217605288964,101.400349498195,7.64204789824739,-15.8941827683493,1,1,1,0.110091531531097,0,0
47.275,-2.279844,9.237097,-2.215098,16.8,17.1,-49,-0.832187238723803,0.575625819246099,9.71619411689961,101.506576656939,7.87732315166384,-15.7599471141057,1,1,1,0.111717733918472,0,0
47.28,-2.356362,9.164502,-2.215098,16.6,17.3,-46.7,-0.880201748388553,0.583741887060771,9.66083268792481,101.612203973845,8.10155803563966,-15.6265438272956,1,1,1,0.11335786560735,0,0
47.285,-2.39364,9.127224,-2.215098,16.7,16.3,-44.3,-0.889978888134823,0.573998316278892,9.63435794731357,101.717731560533,8.31492107015053,-15.5000739604615,1,1,1,0.115012113736558,0,0
47.29,-2.468196,9.127224,-2.107188,16.8,15.5,-42.3,-0.964695642031721,0.46511212109867,9.62764165000901,101.821816353517,8.51963097967472,-15.3794037142442,1,1,1,0.116680459753048,0,0
47.295,-2.468196,9.164502,-2.107188,17.2,13.7,-40.2,-0.935006894551446,0.429201891923669,9.66756833505067,101.926421406736,8.71534064753047,-15.2694473018657,1,1,1,0.118362789976155,0,0
47.3,-2.39364,9.237097,-2.06991,17.9,12.2,-38.7,-0.842330429147362,0.330668430202141,9.72209538538416,102.032850902325,8.90517689804861,-15.1681972100405,1,1,1,0.120058896865423,0,0
47.305,-2.279844,9.20178,-1.997316,18.5,10.9,-37.5,-0.733014561862613,0.215515654854786,9.65794790269672,102.140262313488,9.0886506554762,-15.0744517694866,1,1,1,0.121768429246297,0,0
47.31,-2.242566,9.30969,-1.997316,18.9,9.7,-36,-0.662958708768641,0.153514636569239,9.75836156181656,102.248140255665,9.26636382341836,-14.9879853083492,1,1,1,0.123490986095918,0,0
47.315,-2.205288,9.384247,-1.81485,19.4,8.2,-34.3,-0.64874696990894,-0.0702621644526253,9.78750519998496,102.353323671011,9.43650257893154,-14.9110779624329,1,1,1,0.125226169121844,0,0
47.32,-2.056176,9.384247,-1.742256,20,7.7,-33.8,-0.504586630508142,-0.200926114816365,9.74845774972736,102.459590418751,9.60142462885183,-14.8371494984327,1,1,1,0.126973477144623,0,0
47.325,-1.944342,9.384247,-1.779534,20.3,6.6,-32.7,-0.365822813565269,-0.218880894048525,9.73804721956228,102.566843510273,9.75945682980585,-14.7695044654,1,1,1,0.128732414733454,0,0
47.33,-1.98162,9.384247,-1.669662,20.3,6.5,-32.4,-0.411060001595689,-0.336276374892657,9.72093764255437,102.671815645349,9.91628343887325,-14.7027906154775,1,1,1,0.130502651000781,0,0
47.335,-1.907064,9.456841,-1.634346,20.7,6.3,-32.6,-0.320752994519471,-0.430600798503072,9.76992948367218,102.777643120809,10.0720899180834,-14.6367679061493,1,1,1,0.13228391233539,0,0
47.34,-1.869786,9.566712,-1.597068,20.8,5.8,-32.3,-0.262376113567547,-0.526956150188326,9.86013084924191,102.882315138719,10.225353303393,-14.5735146171621,1,1,1,0.134075868007849,0,0
47.345,-1.757952,9.676584,-1.561752,20.5,6,-32.2,-0.132406271988751,-0.639668363823671,9.93675175378367,102.984807384173,10.3749733794026,-14.5092938692668,1,1,1,0.135878130727578,0,0
47.35,-1.5696,9.784494,-1.524474,20.5,5.9,-32.2,0.0695161986915143,-0.772356812816363,9.99613027248673,103.086833987522,10.5207987649999,-14.4454033983725,1,1,1,0.137690204134275,0,0
47.355,-1.457766,9.749179,-1.561752,19.8,6.9,-31.7,0.202418305794473,-0.778100378577693,9.94807663946341,103.186785106095,10.6607370567786,-14.376794073027,1,1,1,0.139511576536115,0,0
47.36,-1.38321,9.711901,-1.561752,19.3,7.2,-30.9,0.288042590082994,-0.807918098739052,9.8963457932428,103.284354385937,10.7947689108566,-14.307408459065,1,1,1,0.141341914371564,0,0
47.365,-1.308654,9.676584,-1.597068,19.1,7.7,-30.1,0.38273322080042,-0.804667104488074,9.85421257787996,103.381820303654,10.9226459038589,-14.2361610256839,1,1,1,0.143181017318088,0,0
47.37,-1.38321,9.711901,-1.70694,19.3,7.1,-29.3,0.364530949175282,-0.715178429648627,9.92489657892504,103.481229051921,11.0479522987143,-14.1683045493998,1,1,1,0.145028823573605,0,0
47.375,-1.644156,9.676584,-1.70694,19.3,7.3,-28.4,0.129241719173344,-0.664491991697901,9.93956326988194,103.580673567497,11.1726131616218,-14.1003142291716,1,1,1,0.146885553309906,0,0
47.38,-1.720674,9.566712,-1.887444,19.4,7.4,-28,0.110194615947195,-0.470028217882895,9.88999863394166,103.683936839811,11.2961919954104,-14.0314610480384,1,1,1,0.148751657836935,0,0
47.385,-1.606878,9.384247,-1.887444,19.5,7.2,-28.2,0.211610890199363,-0.468403187085349,9.69249260007516,103.788056393847,11.4190888249968,-13.9630473008525,1,1,1,0.15062748643022,0,0
47.39,-1.38321,9.274374,-1.997316,19.7,6.9,-28.8,0.456865492281148,-0.410056958705145,9.56763719067646,103.8952255735,11.5411893377891,-13.8947327341269,1,1,1,0.152513025936786,0,0
